epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,142.328,3.14276,4.21996,4.23998,0.00364,0.92308,0.04443,0.01584,3.26855,4.15958,4.15882,0.00014,0.00014,0.00014
2,254.856,2.96682,4.20533,4.22666,0.00333,0.84615,0.02786,0.00606,3.27025,4.16123,4.15664,0.0002703,0.0002703,0.0002703
3,364.635,2.97169,4.06584,4.16305,0.00303,0.76923,0.04309,0.00854,3.27393,4.16075,4.1536,0.00036892,0.00036892,0.00036892
4,472.974,3.06148,4.06696,4.15683,0.00333,0.84615,0.0468,0.00828,3.2785,4.14949,4.14846,0.00043586,0.00043586,0.00043586
5,588.049,3.10274,4.01318,4.12151,0.00303,0.76923,0.0229,0.00568,3.28144,4.1301,4.14171,0.00047112,0.00047112,0.00047112
6,699.224,3.1063,3.99369,4.06882,0.00333,0.84615,0.11425,0.01848,3.33266,4.03572,4.12433,0.0004747,0.0004747,0.0004747
7,812.368,3.07885,3.98254,4.0522,0.00273,0.69231,0.03767,0.00948,3.39525,3.99358,4.09661,0.0004466,0.0004466,0.0004466
8,923.089,3.08448,3.89023,4.0458,0.00333,0.84615,0.05349,0.00883,3.48048,3.96166,4.09248,0.00038682,0.00038682,0.00038682
9,1034.08,2.95766,3.96828,4.05849,0.00333,0.84615,0.0305,0.00461,3.53319,3.88326,4.10922,0.00029536,0.00029536,0.00029536
10,1141.92,3.10662,3.96653,4.01214,0.00364,0.92308,0.03119,0.00475,3.48758,3.86092,4.07399,0.00017222,0.00017222,0.00017222
